Interference and Diffraction Data File Wed, Oct 11, 2023 12:44 PM
Sensor Position (Meters)	Light Intensity (Volts)
0.00000	-0.01130
0.00000	-0.00920
0.00000	-0.00840
0.00000	-0.01065
0.00000	-0.00759
0.00000	-0.00775
0.00000	-0.00486
0.00000	-0.00711
0.00000	-0.00614
0.00000	-0.00969
0.00000	-0.00937
0.00000	-0.00808
0.00000	-0.01162
0.00000	-0.00792
0.00000	-0.00437
0.00000	-0.00164
0.00000	-0.00888
0.00000	-0.01049
0.00000	-0.00679
0.00000	-0.00824
0.00000	-0.00437
0.00000	-0.00792
0.00000	-0.00727
0.00000	-0.00937
0.00000	-0.01146
0.00000	-0.00953
0.00000	-0.00534
0.00000	-0.00582
0.00000	-0.00872
0.00000	-0.00518
0.00000	-0.01017
0.00000	-0.00743
0.00000	-0.00550
0.00000	-0.01194
0.00000	-0.00647
0.00000	-0.00743
0.00000	-0.01323
0.00000	-0.00437
0.00000	-0.00679
0.00006	-0.00840
0.00011	-0.00775
0.00017	-0.01033
0.00022	-0.01114
0.00028	-0.01355
0.00033	-0.00647
0.00039	-0.01146
0.00044	-0.00582
0.00050	-0.00647
0.00056	-0.01017
0.00061	-0.00937
0.00067	-0.00470
0.00072	-0.00679
0.00078	-0.00534
0.00083	-0.00953
0.00089	-0.01049
0.00094	-0.00920
0.00100	-0.01146
0.00106	-0.01098
0.00111	-0.01194
0.00117	-0.00920
0.00122	-0.01194
0.00128	-0.00502
0.00133	-0.00888
0.00139	-0.01081
0.00144	-0.00824
0.00150	-0.01371
0.00156	-0.00695
0.00167	-0.01661
0.00172	-0.00421
0.00178	-0.00598
0.00183	-0.01130
0.00189	-0.00969
0.00194	-0.00695
0.00200	-0.00985
0.00206	-0.01065
0.00211	-0.01371
0.00217	-0.00711
0.00222	-0.00824
0.00228	-0.00711
0.00233	-0.01033
0.00239	-0.01065
0.00244	-0.01146
0.00250	-0.00582
0.00256	-0.00775
0.00261	-0.00840
0.00267	-0.00470
0.00272	-0.00582
0.00278	-0.00904
0.00283	-0.00824
0.00289	-0.01033
0.00300	-0.00550
0.00300	-0.00614
0.00306	-0.01033
0.00317	-0.00727
0.00322	-0.00840
0.00328	-0.00904
0.00333	-0.00937
0.00339	-0.01130
0.00344	-0.00775
0.00350	-0.00792
0.00356	-0.00727
0.00361	-0.00614
0.00367	-0.01001
0.00372	-0.00872
0.00378	-0.01017
0.00383	-0.00888
0.00389	-0.01065
0.00394	-0.01162
0.00400	-0.00792
0.00406	-0.00695
0.00417	-0.00647
0.00422	-0.00969
0.00428	-0.01033
0.00433	-0.01098
0.00439	-0.01049
0.00444	-0.00856
0.00450	-0.01259
0.00456	-0.00824
0.00461	-0.01146
0.00467	-0.00969
0.00472	-0.01291
0.00478	-0.00727
0.00483	-0.00808
0.00494	-0.00470
0.00500	-0.00840
0.00506	-0.00631
0.00511	-0.00502
0.00517	-0.01033
0.00522	-0.00824
0.00528	-0.01098
0.00533	-0.00421
0.00539	-0.00872
0.00544	-0.00582
0.00550	-0.00647
0.00556	-0.00679
0.00561	-0.00824
0.00567	-0.00985
0.00578	-0.00920
0.00583	-0.00985
0.00589	-0.01049
0.00594	-0.01065
0.00600	-0.00808
0.00606	-0.00759
0.00611	-0.01001
0.00617	-0.00920
0.00622	-0.00872
0.00633	-0.00453
0.00639	-0.00792
0.00644	-0.00453
0.00650	-0.00518
0.00656	-0.00727
0.00661	-0.00743
0.00667	-0.00808
0.00672	-0.01033
0.00678	-0.00953
0.00683	-0.00969
0.00694	-0.01178
0.00700	-0.00711
0.00706	-0.00775
0.00711	-0.00792
0.00717	-0.00647
0.00722	-0.00598
0.00728	-0.00437
0.00733	-0.00695
0.00739	-0.00582
0.00744	-0.00614
0.00750	-0.00614
0.00761	-0.00808
0.00767	-0.00679
0.00772	-0.00775
0.00778	-0.00792
0.00783	-0.00743
0.00789	-0.00824
0.00794	-0.00566
0.00800	-0.00937
0.00806	-0.00856
0.00811	-0.00663
0.00817	-0.00486
0.00822	-0.00631
0.00833	-0.01049
0.00839	-0.00808
0.00844	-0.00808
0.00850	-0.00518
0.00856	-0.00598
0.00861	-0.00389
0.00867	-0.00888
0.00872	-0.00453
0.00878	-0.00953
0.00883	-0.00631
0.00889	-0.00679
0.00894	-0.00920
0.00900	-0.01081
0.00911	-0.00937
0.00917	-0.00582
0.00922	-0.00421
0.00928	-0.00872
0.00933	-0.00792
0.00939	-0.00711
0.00944	-0.00824
0.00950	-0.00647
0.00956	-0.01178
0.00961	-0.00647
0.00967	-0.00534
0.00972	-0.00840
0.00978	-0.01130
0.00983	-0.00792
0.00989	-0.00534
0.01000	-0.01001
0.01006	-0.00743
0.01011	-0.00453
0.01017	-0.00743
0.01022	-0.00711
0.01028	-0.00824
0.01033	-0.00598
0.01039	-0.00582
0.01044	-0.00566
0.01050	-0.00534
0.01056	-0.00502
0.01061	-0.00373
0.01067	-0.00695
0.01078	-0.00937
0.01083	-0.00582
0.01089	-0.00711
0.01094	-0.00695
0.01100	-0.00421
0.01106	-0.00244
